Intern_ID,Attendance,Tasks_Completed,Coding_Score,Communication_Rating,Deadline_Met,Mentor_Feedback,Performance_Label
1,83,12,96,68,No,60,Average
2,77,6,47,62,No,59,Poor
3,69,10,86,84,Yes,75,Poor
4,68,12,66,63,Yes,54,Poor
5,70,6,80,59,Yes,92,Poor
6,65,11,67,69,No,95,Poor
7,92,12,77,69,No,62,Average
8,98,12,87,79,Yes,94,Good
9,83,11,43,97,No,97,Poor
10,86,5,60,72,No,99,Poor
11,91,9,60,65,No,98,Poor
12,65,9,93,66,Yes,52,Poor
13,91,12,74,99,No,79,Average
14,66,6,98,52,No,54,Poor
15,62,8,51,61,Yes,96,Poor
16,96,3,55,79,Yes,92,Poor
17,76,5,91,90,No,61,Average
18,60,13,66,71,Yes,59,Poor
19,62,7,83,57,Yes,87,Poor
20,87,12,62,96,No,58,Average
21,88,9,70,78,No,77,Average
22,81,3,40,76,Yes,61,Poor
23,63,3,61,56,No,95,Poor
24,69,11,75,91,No,71,Poor
25,69,10,71,57,Yes,96,Poor
26,64,6,90,51,Yes,57,Poor
27,87,12,52,57,No,95,Poor
28,88,10,94,84,Yes,55,Good
29,94,12,96,54,No,52,Good
30,69,5,75,58,No,73,Poor
31,76,6,52,76,Yes,93,Poor
32,81,10,62,83,No,70,Average
33,92,7,53,91,Yes,96,Poor
34,66,9,57,74,No,84,Poor
35,89,4,57,65,Yes,83,Poor
36,69,9,67,99,No,77,Poor
37,68,13,83,50,Yes,64,Poor
38,63,5,95,56,No,52,Poor
39,88,13,54,59,No,82,Poor
40,67,7,73,72,Yes,77,Poor
41,85,7,73,59,No,69,Average
42,96,10,66,76,No,77,Average
43,70,14,58,72,Yes,70,Poor
44,79,14,95,95,No,90,Average
45,83,12,75,99,No,97,Average
46,88,10,40,52,No,51,Poor
47,74,6,77,64,No,79,Average
48,81,3,44,90,Yes,81,Poor
49,87,14,84,97,Yes,58,Good
50,79,9,49,59,No,84,Poor
51,69,4,62,75,Yes,86,Poor
52,82,6,79,87,No,97,Average
53,95,14,94,51,Yes,59,Good
54,61,5,42,77,No,78,Poor
55,88,6,72,93,Yes,51,Average
56,66,12,78,76,No,99,Poor
57,74,9,64,84,No,65,Average
58,83,6,95,73,Yes,55,Average
59,74,6,44,86,No,88,Poor
60,79,12,47,90,Yes,73,Poor
61,79,9,90,89,Yes,63,Average
62,88,12,75,81,Yes,50,Average
63,82,14,60,84,No,96,Poor
64,65,7,63,76,Yes,84,Poor
65,92,5,87,67,Yes,84,Good
66,73,6,56,66,Yes,66,Poor
67,69,13,76,52,No,72,Poor
68,88,9,42,64,No,79,Poor
69,73,12,79,61,No,99,Average
70,81,9,57,66,No,74,Poor
71,73,3,89,77,Yes,78,Average
72,63,13,63,55,Yes,90,Poor
73,81,3,67,56,No,94,Average
74,83,3,78,99,No,87,Average
75,95,13,49,82,Yes,81,Poor
76,66,9,68,67,No,69,Poor
77,62,8,78,96,Yes,57,Poor
78,97,4,59,85,Yes,67,Poor
79,83,10,62,77,No,86,Average
80,83,13,60,58,Yes,93,Poor
81,67,9,44,98,Yes,64,Poor
82,77,4,90,82,Yes,86,Average
83,93,6,82,54,Yes,93,Good
84,86,14,52,50,No,65,Poor
85,90,9,97,62,No,87,Good
86,90,11,98,94,Yes,98,Good
87,87,11,54,98,No,89,Poor
88,95,8,80,74,No,94,Average
89,74,9,72,97,No,84,Average
90,73,8,96,51,No,50,Average
91,71,13,88,71,Yes,52,Average
92,85,14,73,85,No,91,Average
93,75,10,97,54,Yes,86,Average
94,96,9,87,50,No,57,Good
95,96,6,70,58,No,62,Average
96,70,10,99,84,No,81,Poor
97,64,5,61,93,No,77,Poor
98,62,6,85,86,Yes,58,Poor
99,97,7,53,50,No,51,Poor
100,96,5,73,96,No,64,Average
101,64,9,74,67,No,61,Poor
102,63,5,51,86,Yes,82,Poor
103,76,6,72,84,No,96,Average
104,90,12,43,92,Yes,55,Poor
105,86,6,54,91,Yes,71,Poor
106,83,13,90,57,Yes,78,Average
107,61,13,96,69,Yes,76,Poor
108,92,11,98,71,Yes,55,Good
109,99,9,59,52,Yes,50,Poor
110,61,3,40,71,No,86,Poor
111,78,14,70,61,Yes,97,Average
112,87,6,54,61,Yes,54,Poor
113,75,5,63,58,No,99,Average
114,67,12,63,50,Yes,70,Poor
115,63,6,81,68,Yes,74,Poor
116,85,4,53,89,No,65,Poor
117,98,11,92,66,No,81,Good
118,87,11,97,56,Yes,99,Good
119,73,11,90,84,Yes,50,Average
120,91,8,59,87,No,61,Poor
121,87,11,94,59,Yes,59,Good
122,77,11,61,79,No,90,Average
123,76,4,71,83,Yes,85,Average
124,79,9,53,98,Yes,56,Poor
125,96,7,82,92,No,76,Good
126,70,10,79,92,No,95,Poor
127,82,6,52,90,No,91,Poor
128,74,9,58,79,Yes,70,Poor
129,67,5,99,85,No,59,Poor
130,95,5,76,67,No,62,Average
131,93,12,98,64,Yes,95,Good
132,85,8,42,95,Yes,67,Poor
133,73,14,87,59,No,68,Average
134,92,11,80,78,No,67,Average
135,76,3,95,60,Yes,88,Average
136,95,10,86,55,No,64,Good
137,79,5,43,64,No,63,Poor
138,87,3,46,64,Yes,77,Poor
139,88,4,44,97,Yes,54,Poor
140,68,4,59,96,No,67,Poor
141,99,4,78,91,No,78,Average
142,79,14,95,67,Yes,67,Average
143,94,14,44,95,No,55,Poor
144,66,12,77,91,No,72,Poor
145,71,11,54,54,No,71,Poor
146,62,11,57,69,No,75,Poor
147,81,5,82,79,No,98,Average
148,74,13,99,63,Yes,76,Average
149,72,5,69,90,Yes,71,Average
150,87,13,95,84,No,60,Good
151,70,10,66,53,No,68,Poor
152,79,5,76,61,Yes,73,Average
153,92,9,80,62,No,52,Average
154,98,14,88,85,No,99,Good
155,74,11,92,63,Yes,96,Average
156,61,7,54,53,No,69,Poor
157,75,6,42,84,Yes,82,Poor
158,64,3,70,78,Yes,87,Poor
159,74,6,50,62,Yes,97,Poor
160,94,10,92,62,No,85,Good
161,67,3,58,91,No,71,Poor
162,68,11,97,79,Yes,91,Poor
163,99,10,69,71,Yes,58,Average
164,74,10,46,84,No,95,Poor
165,81,8,81,90,No,53,Average
166,72,9,79,70,Yes,91,Average
167,62,3,72,80,No,59,Poor
168,92,13,60,91,No,52,Poor
169,88,11,48,50,Yes,72,Poor
170,92,5,48,57,Yes,81,Poor
171,61,8,75,71,No,57,Poor
172,82,3,70,64,Yes,87,Average
173,69,3,76,56,No,70,Poor
174,77,9,75,68,No,84,Average
175,86,10,73,59,No,53,Average
176,82,8,97,78,No,88,Average
177,62,10,60,58,Yes,64,Poor
178,68,12,48,60,Yes,76,Poor
179,88,6,52,64,Yes,56,Poor
180,65,12,50,75,Yes,55,Poor
181,68,6,75,56,Yes,89,Poor
182,82,7,62,60,Yes,68,Average
183,92,3,44,64,No,53,Poor
184,62,12,75,58,Yes,94,Poor
185,71,4,74,73,No,69,Average
186,83,12,94,78,Yes,76,Average
187,67,14,54,83,Yes,62,Poor
188,64,4,53,62,No,67,Poor
189,89,14,77,56,No,81,Average
190,80,6,44,77,Yes,52,Poor
191,80,3,68,57,No,87,Average
192,88,14,63,51,No,76,Average
193,76,14,45,74,No,88,Poor
194,74,6,80,69,Yes,92,Average
195,70,12,83,80,No,97,Poor
196,98,6,61,51,Yes,85,Average
197,75,5,86,76,No,52,Average
198,90,9,69,81,No,75,Average
199,77,3,40,82,Yes,54,Poor
200,70,4,88,64,Yes,94,Poor
